Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Ronaldo (MEI),,"3,78",14,"2,13","0,00","0,00",39,,1,,14,5,1,,,,,,4,,,27,,48
Dudu (LAT),,"4,42",25,"2,11","0,00","0,09",57,,,5,29,7,2,,,,1,1,3,,,27,3,208
Rodrigues (ZAG),,"3,43",14,"2,07","0,00","0,00",10,,,5,7,6,1,,,,,,3,,,5,2,61
Fred (ATA),,"2,95",16,"2,04","-2,50","-0,44",4,3,2,,29,3,4,,,,,,4,,,23,3,60
Franco (MEI),,"4,59",20,"1,97","-0,50","-0,08",23,3,,,15,5,4,,,,,,1,,,30,1,63
Richard (MEI),,"3,39",21,"1,95","4,80","-0,13",48,,1,,23,5,1,,,,,,4,,,26,,79
Luiz Henrique (ATA),,"2,87",18,"1,94","2,70","0,40",20,1,1,,5,9,2,,,,,,,,,9,3,39
Marcelo Benevenuto (ZAG),,"6,20",23,"1,92","0,40","0,52",33,,1,4,16,10,1,,,,,,6,,,22,1,76
Edimar (LAT),,"3,94",23,"1,92","-0,30","-1,53",40,1,,4,12,15,5,,,,,,5,,,32,1,214
Ernando (ZAG),,"5,33",19,"1,88","0,00","0,00",15,1,1,2,4,4,5,,,,,,,,,15,,57
Juninho (ZAG),,"7,13",21,"1,88","0,00","0,00",32,1,,2,6,4,2,,,,,1,2,,,5,1,76
Léo Matos (LAT),,"4,82",10,"1,88","-2,90","-0,94",11,1,1,3,6,4,5,,,,,,6,,,21,1,94
Eduardo Barroca (TEC),,"4,03",11,"1,87","1,13","-0,05",,,,,,,,,,,,,,,,,,
Vanderlei (GOL),,"6,55",20,"1,86","0,00","0,00",,,,6,4,,,,14,,,,2,,17,,,131
Paulão (ZAG),,"2,92",23,"1,85","-0,90","-0,74",24,,,8,12,3,2,,,,,,4,,,28,3,89
Sarrafiore (MEI),,"3,33",10,"1,80","5,40","0,64",13,,,,8,10,2,,,,,,1,,,7,,39
Lucas Silva (MEI),,"5,16",24,"1,79","0,00","0,00",31,1,,,31,9,6,1,,,,,5,,,21,,81
Jean Mota (MEI),,"4,48",20,"1,78","4,00","0,38",24,,1,,18,10,6,1,,,,,1,,,23,,71
Thiago Andrade (ATA),,"1,37",2,"1,75","0,00","0,00",3,,,,3,3,,,,,,,1,,,2,,4
Marcos Felipe (GOL),,"1,97",9,"1,70","4,50","0,06",,,1,2,1,,,,7,,,,,,10,,,82
Marcão Silva (MEI),,"4,82",18,"1,70","4,20","1,27",39,1,,,15,8,,,,,,,5,,,36,,23
Bruno Leite (MEI),,"1,32",2,"1,70","0,00","0,00",4,,,,,,,,,,,,,,,,1,1
Felipe Alves (GOL),,"2,91",25,"1,69","-4,50","-2,01",2,,,8,4,,,,18,1,,,,,27,,,265
Marlon Freitas (MEI),,"5,00",21,"1,68","-0,70","0,30",35,,1,,16,15,9,1,,,,1,4,,,26,,123
Lucas Braga (ATA),,"2,93",23,"1,65","-0,10","-0,28",26,1,1,,38,5,6,,,,,,3,,,31,4,75
Hugo Moura (MEI),,"4,03",20,"1,58","7,80","1,24",38,1,,,23,6,1,,,,,,4,,,35,,64
Luan Polli (GOL),,"4,11",22,"1,50","-2,60","-0,61",,,,6,2,,,,22,,,,3,,28,,,240
Daniel Alves (MEI),,"9,99",19,"1,49","-0,70","-0,15",34,1,2,,35,18,4,,,,,,7,,,41,5,234
Xavier (MEI),,"1,39",7,"1,47","0,00","0,00",13,,1,,2,1,1,,,,,,2,,,10,,17
Allan (MEI),,"5,99",22,"1,44","0,50","-0,24",42,,,,18,12,3,1,,,,,3,,,32,,136
Betinho (MEI),,"4,50",17,"1,39","2,60","0,73",39,,1,,18,4,,,,,,,4,,,33,,81
Léo (LAT),,"3,58",16,"1,33","0,00","0,00",14,,1,2,15,2,,,,,,,2,,,10,,78
Arthur Gomes (ATA),,"3,46",17,"1,31","0,00","-0,86",15,1,,,14,3,8,1,,,,1,1,,,17,1,68
Fabrício Bruno (ZAG),,"1,30",9,"1,30","0,80","0,29",17,1,,,4,1,,,,,,1,2,,,9,,26
Adryelson (ZAG),,"3,44",27,"1,28","0,10","0,11",30,,,6,19,8,2,1,,,1,,6,,,38,1,100
Willian Arão (MEI),,"7,50",24,"1,26","3,40","0,18",47,,,,12,9,2,,,,,,4,,,31,,87
Gustavo Henrique (ZAG),,"5,22",15,"1,21","3,20","0,89",14,1,,4,6,4,2,,,,1,1,4,,,20,,43
Wanderson (ZAG),,"2,66",4,"1,17","-2,90","-1,24",3,,,1,4,,,,,,,,1,,,4,,13
Martinelli (MEI),,"0,99",4,"1,17","0,50","0,09",8,,,,3,,1,,,,,,1,,,5,,15
Kevin (LAT),,"2,17",22,"1,15","-4,00","-1,32",50,,1,2,19,1,3,,,,1,,3,,,26,3,283
Danilo (MEI),,"1,73",13,"1,14","0,00","0,00",20,,,,7,6,1,,,,,,3,,,11,,31
Éder (ZAG),,"3,79",24,"1,11","2,20","0,12",20,,,6,11,3,2,,,,,,4,,,32,1,88
Cássio (GOL),,"7,45",19,"1,08","0,00","0,00",1,,,5,1,,,,17,,,1,1,,26,1,,145
Sandry (MEI),,"1,98",11,"1,06","1,90","-0,09",27,,,,8,,,,,,,,4,,,16,,34
Marcelo Lomba (GOL),,"7,57",29,"1,02","-5,20","-2,53",1,,,12,3,,,,15,,,,3,,27,,,329
Nathan Ribeiro (ZAG),,"2,71",2,"1,00","2,20","0,42",,,,1,,,,,,,,,1,,,1,,5
Nathan Silva (MEI),,"1,98",12,"0,92","-0,50","-0,56",21,1,1,,10,7,,,,,,,7,,,30,,44
Praxedes (MEI),,"1,04",14,"0,92","0,70","-1,70",20,1,,,10,6,1,,,,,,3,,,24,1,76
Luan (MEI),,"3,19",17,"0,79","-0,20","0,01",30,,,,10,2,2,,,,,,5,,,24,,37
Guilherme Biro (ATA),,"1,31",4,"0,78","-0,20","-0,67",8,,,,1,1,,,,,,,1,,,5,,17
Gregore (MEI),,"5,29",20,"0,66","0,00","0,00",52,,2,,15,7,4,,,,,1,9,,,65,,112
Ariel Cabral (MEI),,"3,50",12,"0,63","-3,30","-0,87",27,,,,7,,2,,,,,,4,,,21,,68
Bruno Méndez (ZAG),,"2,05",7,"0,57","0,00","0,00",6,,,3,1,,,,,,,1,3,,,6,,35
Heron (ZAG),,"1,35",16,"0,53","3,30","0,58",15,,,2,9,1,,,,,,,4,,,16,,57
Christian (MEI),,"1,33",22,"0,27","3,50","0,56",17,1,,,25,3,4,1,,,,,6,,,37,2,101
Ramires (MEI),,"4,10",7,"-0,07","1,30","0,39",1,,,,3,2,,,,,,,,,,5,2,11
Ramon (MEI),,"0,77",7,"-0,17","0,00","0,00",5,,,,5,,1,,,,,,2,,,8,,19
Cleiton (GOL),,"0,86",23,"-0,36","1,70","0,09",1,,,4,3,,,,10,,,,,,27,,,167
